,0
0,0.5449125
1,0.4420854
2,0.2165203
3,-0.6318898
4,-0.2642791
5,0.2661618
6,-0.7258322
7,-0.591736
8,0.1201783
9,-0.8478686
10,-0.8071119
11,-0.05735727
12,0.73009
13,0.4994672
14,-1.113784
15,-0.9016572
16,-0.7453122
17,-0.2073771
18,-2.041259
19,-1.301238
20,0.08895852
21,0.8748798
22,0.356634
23,0.8335447
24,1.066149
25,0.2731023
26,-0.1988
27,-0.4660447
28,-0.7520927
29,-0.7433433
30,-1.871513
31,-0.6853707
32,0.3913978
33,1.066862
34,0.2837099
35,0.210712
36,0.4326345
37,0.8196145
38,0.2831192
39,-0.8451367
40,-1.462899
41,-1.399045
42,-0.5960799
43,-0.5132497
44,-0.4994057
45,-0.3034853
46,0.2012242
47,0.6893702
48,0.3337575
49,-0.5021375
50,-0.8057336
51,-0.6611899
52,-0.9692776
53,-1.623342
54,-1.32884
55,-0.5548186
56,0.06218114
57,-0.01321641
58,-0.035736
59,-0.2508411
60,0.4513639
61,-1.00489
62,-1.447825
63,-0.892957
64,-1.176433
65,-1.742216
66,-1.029108
67,0.3109426
68,0.4341727
69,0.9161289
70,0.6787995
71,0.09221956
72,0.5983812
73,0.2836114
74,-0.5676659
75,-1.721912
76,-0.5562215
77,-0.323716
78,0.3039283
79,-0.2333054
80,0.03082599
81,0.06771874
82,-0.1174464
83,0.4524591
84,0.2051498
85,-0.4747695
86,-0.41201
87,-0.9364826
88,-0.1987507
89,-0.7296962
90,-0.6036603
91,-0.4567538
92,-0.1209166
93,-0.4465401
94,0.685506
95,-0.7187317
96,-1.250009
97,0.1397814
98,0.07732956
99,0.6206054
100,-0.5773136
101,-0.7597838
102,-0.50151
103,0.1047468
104,-0.347983
105,-0.5454416
106,0.3009011
107,0.3165787
108,-0.002215041
109,-0.329512
110,-0.4630544
111,-0.1392769
112,-1.559906
113,-1.035815
114,-0.9787652
115,-0.8559166
116,-0.4787197
117,-1.223761
118,0.2695828
119,0.7273211
120,-0.6219713
121,0.5433004
122,0.7474042
123,-0.2602797
124,-0.231398
125,0.2223163
126,-0.07069674
127,-0.8324987
128,-1.211812
129,0.2379447
130,0.4156648
131,0.2368002
132,0.4042328
133,0.5045126
134,0.1318319
135,0.0984832
136,0.0497646
137,-0.2575231
138,-0.5416515
139,0.1598522
140,-0.5842417
141,0.07193962
142,-0.4799995
143,-0.3271739
144,-0.5274506
145,-0.5157601
146,0.06598362
147,-0.866475
148,-0.3921362
149,-0.1275987
150,-0.1674202
151,1.2015
152,-0.362873
153,-0.6542248
154,0.2784553
155,-0.06064291
156,-0.6763383
157,-1.005678
158,0.2017657
159,0.1119088
160,1.27467
161,0.2130993
162,-1.031717
163,0.199526
164,-0.1093123
165,-0.4189751
166,0.523562
167,-0.4296565
168,0.1589661
169,-0.5737203
170,-0.5704101
171,-0.2524409
172,-0.06224266
173,0.2915117
174,0.3927884
175,-0.2810395
176,-0.756129
177,0.4901517
178,-0.8656012
179,-1.291443
180,-1.146715
181,0.3764463
182,-0.7423342
183,-0.3758679
184,0.3965909
185,-0.3147574
186,-0.9780515
187,0.2560588
188,0.3751788
189,-0.1512627
190,0.2578308
191,0.3739236
192,0.654877
193,0.2953511
194,0.3756218
195,-0.03332407
196,-0.7297577
197,-0.2845713
198,0.09031216
199,-0.5076137
200,-0.2666171
201,-0.783977
202,-0.7895638
203,-0.1831101
204,-0.1753574
205,-0.1615134
206,-0.7635617
207,-1.173061
208,-0.5028144
209,0.9612296
210,-0.1950221
211,-0.5653647
212,0.3032761
213,-0.0770096
214,-0.01907397
215,-0.5755785
216,-0.3042359
217,-1.035889
218,-1.941484
219,-0.8764303
220,-0.3708102
221,-0.6352985
222,-0.5776951
223,0.04695888
224,-0.6864167
225,-1.264899
226,-0.2929023
227,0.1510781
228,-1.298593
229,-0.5160062
230,0.1273649
231,-0.5963384
232,0.2278908
233,-0.1258759
234,0.06023682
235,0.0521027
236,-0.4828544
237,0.4175599
238,-0.2464726
239,-0.8864965
240,-0.2310288
241,-0.3517363
242,-0.7917789
243,-0.3602765
244,0.4222853
245,-0.6359876
246,-1.270757
247,-0.02740498
248,-0.01027533
249,-0.7935386
250,-0.2739514
251,-0.6491179
252,-0.4816362
253,-1.361967
254,-0.09095206
255,-0.09497605
256,0.4121946
257,0.05056447
258,-0.9612296
259,-0.9162027
260,-1.921155
261,-0.7959505
262,0.2998674
263,-0.991391
264,-0.9317203
265,0.3104873
266,4.22513
267,4.390643
268,0.3264356
269,-2.789106
270,-1.802637
271,0.6091118
272,-1.2332
273,-1.586413
274,1.599986
275,-0.707878
276,-3.116514
277,1.827028
278,4.773427
279,-1.496863
280,-7.113076
281,-0.7540001
282,3.120956
283,-0.06951538
284,-2.52719
285,1.042878
286,1.012815
287,0.4696257
288,-1.121082
289,-2.990232
290,-3.95124
291,-1.324472
292,3.76146
293,3.353117
294,1.17647
295,-1.014489
296,2.925381
297,0.5617591
298,-1.433698
299,-1.694199
300,-2.47985
301,0.6324559
302,-0.08340862
303,4.42596
304,-0.9231678
305,0.6012115
306,5.407495
307,-6.124885
308,-5.836363
309,3.764561
310,-2.426418
311,-5.311226
312,0.8535662
313,2.513973
314,4.440702
315,-1.422783
316,2.546879
317,4.196728
318,-4.001952
319,0.5799224
320,0.5066538
321,-4.792574
322,-1.093529
323,-0.6498439
324,-1.702998
325,1.569984
326,-0.06982303
327,3.868951
328,2.806679
329,-4.954765
330,-5.026692
331,-12.76314
332,5.018349
333,12.20493
334,-2.389944
335,-3.822214
336,1.86947
337,11.4572
338,-1.709544
339,-16.11038
340,8.203627
341,6.598055
342,-8.432207
343,3.750865
344,4.192163
345,-1.292095
346,-8.631807
347,-1.855479
348,12.32143
349,-3.236852
350,-4.748421
351,1.67766
352,-5.32432
353,4.676617
354,5.9774
355,-4.679189
356,-2.818234
357,-4.761121
358,1.022242
359,-2.959603
360,-7.156762
361,1.517857
362,-6.990929
363,-3.381039
364,6.062999
365,2.092279
366,-4.780982
367,-8.765005
368,0.8846382
369,6.149361
370,-2.618081
371,1.312732
372,-1.664616
373,-3.12914
374,5.411358
375,3.619747
376,0.4429468
377,0.7505914
378,3.297815
379,2.623926
380,-1.50517
381,-1.123789
382,1.347939
383,0.5587319
384,3.552804
385,1.91318
386,-3.065913
387,0.8750029
388,1.866037
389,-2.117432
390,-3.015668
391,0.7001007
392,0.8581439
393,-2.428239
394,-2.938855
395,-0.03507149
396,-2.726605
397,-2.996779
398,1.629544
399,-0.8039861
400,-3.035456
401,-1.083783
402,-1.08777
403,0.2026763
404,-0.8226295
405,-1.088053
406,-0.4414085
407,-0.9399159
408,1.363247
409,0.9894344
410,-1.248471
411,0.2068356
412,0.7865735
413,2.510208
414,2.125947
415,0.5659062
416,0.3385322
417,-1.272246
418,1.608243
419,2.85002
420,-0.8187777
421,-0.971911
422,0.5819283
423,0.8703513
424,0.9057797
425,-0.3434176
426,-0.8701298
427,-1.4462
428,-1.854876
429,0.2819379
430,-2.32679
431,-2.691534
432,-0.2914995
433,-0.6456845
434,-0.05756647
435,0.006534372
436,-0.965598
437,-0.5215807
438,-0.870622
439,0.5181843
440,-1.106573
441,-2.853133
442,0.3650142
443,1.870307
444,0.173007
445,0.6035004
446,0.5266507
447,1.328557
448,1.001826
449,-0.01662512
450,0.3812579
451,-0.8451121
452,0.05727113
453,1.025121
454,0.7868196
455,0.3706872
456,-0.3268294
457,0.8420357
458,1.312929
459,-1.352344
460,-1.402737
461,-0.6836725
462,-1.493098
463,-1.45068
464,-2.37658
465,-0.9767594
466,-0.842048
467,-0.1042792
468,0.5474844
469,-0.6903669
470,-0.4243527
471,-0.5702502
472,-0.7320834
473,-1.227428
474,-0.4067924
475,0.1483462
476,-0.2784184
477,-1.006441
478,0.2526008
479,0.05846479
480,0.004171661
481,0.2209627
482,-0.1114043
483,-0.2672324
484,-0.2011996
485,-0.004134744
486,-0.7232233
487,0.1913181
488,-1.069237
489,0.3890474
490,-0.6577935
491,-0.3487706
492,0.5330374
493,-0.107528
494,0.2494875
495,0.5078967
496,-0.1742868
497,-0.4817346
498,-0.1810304
499,0.006399009
500,-0.5956861
501,-0.2966063
502,-0.143227
503,0.07342862
504,-0.5018915
505,0.1375172
506,-0.1610458
507,-1.093824
508,-0.2144406
509,-0.4294719
510,-0.03425931
511,0.08682963
512,0.8114066
513,0.5868014
514,-0.9789498
515,-0.7033987
516,-0.09048444
517,-0.5958707
518,-0.1668049
519,1.031951
520,-0.1612304
521,-0.3232238
522,-0.3999504
523,-0.3517486
524,-0.1514227
525,-0.4580213
526,0.9242875
527,0.6824543
528,-0.5731789
529,-0.4464785
530,1.16489
531,0.04810331
532,0.1443715
533,-0.1585723
534,0.3774307
535,-0.4612823
536,-0.07560674
537,0.2076109
538,-0.8125756
539,-0.2182923
540,0.5278198
541,-0.4639527
542,-0.3834113
543,-0.2636022
544,0.1768464
545,-0.8387501
546,-0.8793591
