,0
0,-0.6417344
1,-1.733873
2,-0.896255
3,0.5547817
4,0.0157391
5,0.4379629
6,0.5577105
7,1.370643
8,1.772218
9,-0.2307458
10,0.4663524
11,-0.3795966
12,-0.6723389
13,0.52115
14,0.9899513
15,1.737958
16,0.7502714
17,2.356656
18,1.18234
19,-0.582359
20,-0.5617961
21,0.301098
22,-0.1114658
23,0.1851528
24,-0.7528803
25,-0.09076747
26,0.2230178
27,0.5249402
28,0.7979686
29,-0.8468103
30,-0.2337238
31,-0.9768825
32,-0.02458696
33,-0.4270107
34,-1.545853
35,-0.4774399
36,-0.1038116
37,-0.697332
38,-1.024764
39,-1.480891
40,-1.658328
41,-1.74592
42,-2.607744
43,-0.1226395
44,-0.1374433
45,-3.686666
46,-0.8465396
47,-1.795402
48,-4.093064
49,-2.68431
50,0.08129202
51,1.621976
52,-0.5795656
53,-0.1188739
54,0.3708225
55,-0.2745298
56,1.491523
57,4.068933
58,1.032849
59,0.1941607
60,1.46253
61,0.6676012
62,0.04204887
63,1.45052
64,2.691115
65,0.9001682
66,0.1044638
67,2.316921
68,0.9129293
69,-0.4492842
70,0.2190676
71,1.498611
72,-0.7877548
73,-0.786352
74,-0.06298101
75,-1.049708
76,-0.8481886
77,0.4268016
78,-0.2718594
79,-0.566743
80,0.1722933
81,0.8120957
82,-1.248262
83,-3.069863
84,-1.272258
85,-0.6949201
86,-0.9487761
87,0.01133363
88,0.4173384
89,-0.7645954
90,-2.096783
91,-0.6274228
92,-0.5381443
93,-2.574173
94,-1.246822
95,0.4502195
96,-0.4052295
97,-0.239729
98,0.8730463
99,-0.4952587
100,-0.2835007
101,0.8906805
102,0.1142346
103,-0.2592829
104,1.033157
105,2.99129
106,0.747355
107,0.5958953
108,1.662192
109,0.7142278
110,0.2714779
111,0.8693053
112,0.7005807
113,-0.4838143
114,0.4056479
115,0.1397691
116,0.006928157
117,-1.383946
118,-0.2305981
119,-1.169985
120,-0.9956857
121,-2.091984
122,-1.560238
123,-0.4239343
124,0.003051835
125,0.1563819
126,-1.079328
127,-1.371431
128,-1.026475
129,0.4369538
130,1.518928
131,1.529535
132,0.6004239
133,-0.1469188
134,0.07101669
135,-1.248582
136,-2.80786
137,-1.964914
138,-2.104634
139,-3.2014
140,-0.9276347
141,-1.564299
142,-1.637519
143,0.09197344
144,1.322244
145,0.1332594
146,-0.5097426
147,1.532243
148,1.148068
149,0.8090684
150,0.2746528
151,1.063331
152,0.2908472
153,-0.02629746
154,0.8515235
155,0.3751542
156,-0.03755726
157,-0.09602205
158,0.3895273
159,-0.9541291
160,-1.078331
161,-1.553458
162,-0.5880935
163,-0.6331204
164,-0.3186337
165,-0.2993875
166,-0.5312285
167,-0.5293826
168,-0.1271557
169,-0.04137205
170,-0.6180089
171,-0.4988273
172,0.1706689
173,0.8309482
174,1.461829
175,0.3798919
176,1.059762
177,0.4194796
178,-0.7688901
179,0.1976309
180,0.006792794
181,0.002793413
182,0.2772616
183,0.2614241
184,-0.03114594
185,0.03406242
186,-0.2911672
187,-0.6907853
188,-0.5362616
189,-1.08318
190,-0.4404117
191,-0.1073926
192,-0.860802
193,-0.1281278
194,-0.1069127
195,0.8345045
196,0.02749113
197,0.3646327
198,-1.499386
199,-0.2475924
200,-0.1374187
201,-0.1269096
202,-1.144007
203,-0.1791845
204,0.5270814
205,-0.1198091
206,0.567592
207,0.18391
208,0.04586366
209,0.3894289
210,1.897983
211,0.9766241
212,-0.2809165
213,0.7239248
214,0.1571695
215,-0.2988214
216,-1.069188
217,0.7448323
218,-0.3483891
219,-0.8160828
220,0.2875739
221,0.1292723
222,-1.671015
223,0.03347174
224,0.002165818
225,-2.080773
226,0.7339786
227,1.385348
228,0.1752098
229,0.1688477
230,-0.4299149
231,-0.1870972
232,-0.6505454
233,0.02200275
234,0.03827099
235,-0.3561048
236,-0.7493485
237,1.055283
238,-0.9942091
239,-0.2859126
240,-0.1843407
241,0.004110132
242,-0.4127606
243,-0.4278229
244,0.2201628
245,-1.273772
246,0.4363509
247,0.5867152
248,0.03729884
249,-1.050803
250,0.07160737
251,0.5433866
252,0.3693705
253,-0.6702715
254,-0.03688044
255,-0.06822328
256,-0.3177477
257,0.9351044
258,-0.8571718
259,-0.1216796
260,-0.1264912
261,-0.777701
262,-0.04692196
263,-1.351077
264,-0.2989937
265,-0.01946775
266,0.1495891
267,0.9205713
268,0.08441769
269,-0.3355788
270,0.1564681
271,-0.1190954
272,-0.2658049
273,-0.6136772
274,-0.3776892
275,0.336637
276,0.2342775
277,1.735793
278,0.6800423
279,-0.4596088
280,-0.4966738
281,-0.5445556
282,-0.5859154
283,-0.3346189
284,0.6258476
285,-0.03694197
286,0.4910378
287,-0.3725454
288,-0.5895087
289,0.7895515
290,-0.3910163
291,-0.9101359
292,-0.7822542
293,-0.7587748
294,0.2740375
295,-0.3462479
296,-0.2553697
297,-0.7269151
298,0.1244115
299,1.042312
300,1.227613
301,0.2296014
302,-1.032554
303,0.05020761
304,1.071243
305,-0.07681271
306,-0.05791103
307,0.4603595
308,1.553052
309,-0.08051676
310,0.125839
311,-0.1580801
312,-0.941971
313,-0.3455218
314,0.3819716
315,-0.5792702
316,-0.5812269
317,0.01927086
318,0.4138067
319,0.2770278
320,0.1028518
321,0.4968461
322,0.01940622
323,-0.6051247
324,0.006005223
325,-0.3641651
326,-0.3609287
327,-0.09700651
328,0.3948804
329,0.5362
330,-0.9775224
331,-0.6940586
332,-0.6387811
333,0.4063124
334,-0.4438451
335,-0.9824816
336,-0.2055681
337,-0.2890506
338,-0.5182951
339,0.2463741
340,-0.6824051
341,-1.001334
342,-0.2898012
343,0.2268079
344,0.2709611
345,-0.1942837
346,0.2687953
347,0.1818549
348,-1.05452
349,-0.8057951
350,0.4345296
351,0.1766865
352,-0.4963046
353,0.5317945
354,-0.08355629
355,-0.8649368
356,-0.945798
357,0.3254388
358,-0.1533793
359,-0.4020054
360,-0.3229653
361,0.589201
362,0.6803131
363,0.8112466
364,0.4805287
365,-1.498279
366,-0.9506096
367,-0.5188119
368,-0.7545046
369,-0.07062291
370,-0.7085179
371,0.284842
372,-1.131972
373,-0.262064
374,0.5833681
375,-0.9346982
376,-0.2616579
377,1.109686
378,0.6829219
379,-0.7524003
380,-0.4345788
381,-0.5657954
382,0.455068
383,0.318806
384,0.2184277
385,-0.8706343
386,-0.5327175
387,0.2406766
388,-0.05183197
389,-0.5741018
390,0.9908987
391,1.769609
392,-1.006256
393,-0.792148
394,-0.434788
395,-0.4111978
396,-0.0559421
397,0.9502404
398,-0.1538962
399,-0.3808887
400,0.7476626
401,0.8227402
402,-1.006367
403,-0.6634049
404,-0.6471736
405,-0.2054943
406,-0.1783108
407,0.5706685
408,-0.5806854
409,-0.6329973
410,0.562116
411,0.2872171
412,-0.7606575
413,-0.04757417
414,1.036541
415,-0.09760949
416,-0.7059706
417,-0.4191104
418,0.05970767
419,0.4369415
420,0.3560925
421,0.3992735
422,-0.3203319
423,-1.312781
424,0.8632016
425,-0.5264046
426,-0.07191501
427,0.08551291
428,0.1276233
429,-0.4582182
430,0.1165358
431,-0.5409623
432,-1.373756
433,-0.8540954
434,0.1569972
435,0.3543328
436,-0.7866842
437,-0.6842017
438,-0.09976301
439,-0.2873893
440,-0.7258937
441,-0.1262204
442,-0.5586088
443,-0.5709761
444,0.5604054
445,-0.2240391
446,-0.141615
447,0.04099057
448,-0.01731424
449,-0.09192422
450,-0.4366954
451,-1.981244
452,-1.00606
453,-0.2967417
454,-0.2139361
455,0.009377008
456,0.635237
457,0.04000611
458,-0.8442384
459,-0.7483518
460,-0.2605012
461,0.2716379
462,-0.5521114
463,-0.1022119
464,-0.1246822
465,-0.3003473
466,0.3036453
467,0.439981
468,0.8327079
469,0.6356553
470,-0.6826634
471,-0.3703549
472,-0.4527421
473,-0.5961784
474,-0.4048849
475,0.6527604
476,-0.8978547
477,-0.5955139
478,-0.4752986
479,-1.008004
480,-0.8484223
481,-0.1185539
482,0.801685
483,-0.5692041
484,-0.8696006
485,0.170066
486,-0.3325146
487,-0.4260386
488,0.01834793
489,-0.6772858
490,-0.07639431
491,-0.5338988
492,-0.1408028
493,-0.5129667
494,-0.6846324
495,0.2771755
496,1.080239
497,0.019357
498,-0.05419468
499,-0.9128554
500,0.008761719
501,0.1636916
502,-0.4966123
503,0.5815591
504,-0.1067035
505,-0.1054852
506,0.6886441
507,0.4276753
508,-0.5171629
509,-0.3827345
510,0.2323948
511,-0.8507236
512,-0.3578276
513,-0.6565752
514,-0.8178179
515,-0.1437316
516,-0.173007
517,-0.6577812
518,-0.577892
519,-0.04823868
520,-0.9912802
521,-0.6014084
522,0.2746282
523,0.217111
524,0.08557443
525,-0.4522499
526,0.3079154
527,0.2022825
528,-0.1623871
529,0.03660971
530,-0.1332347
531,-0.5335912
532,-0.3367355
533,0.176305
534,0.1208428
535,-0.04159356
536,1.17332
537,0.3465063
538,-0.4508594
539,0.156788
540,0.7032756
541,-0.4254725
542,-0.8993314
543,-0.0829656
544,0.5917975
545,-0.2702473
546,-0.8405467
547,-0.7045062
548,-0.6979842
549,-0.5670752
550,-0.1915396
551,-0.1615011
552,0.6642171
553,1.037242
554,1.285438
555,1.043358
556,0.8033463
557,0.02752804
558,-0.660833
559,0.7633156
560,0.4015378
561,-1.551563
562,-2.125628
563,-0.577166
564,-0.6039433
565,-0.4698841
566,-1.795033
567,-1.542469
568,-1.629606
569,-0.2369725
570,1.156535
571,1.316645
572,-0.3619501
573,-1.196258
574,-0.5746925
575,-0.3763355
576,-1.289339
577,-0.8553751
578,-0.4749787
579,-1.224721
580,-0.08628817
581,0.3028823
582,-0.4440666
583,0.5067276
584,0.5877243
585,-0.4064109
586,-0.9329631
587,0.201335
588,1.154258
589,2.093952
590,1.169173
591,1.089788
592,0.8895114
593,0.8027556
594,2.540886
595,0.6725234
596,0.3638698
597,0.4446326
598,0.4465277
599,1.107225
600,-0.7730002
601,-1.51798
602,-1.897749
603,-1.133326
604,-1.418106
605,-1.044355
606,-0.9861487
607,-0.6932464
608,-1.499325
609,-1.381091
610,-0.285728
611,-1.503619
612,-0.6867982
613,-1.480804
614,0.03996919
615,-0.1885246
616,0.3476877
617,0.3977968
618,0.7416943
619,0.9198698
620,0.5276598
621,0.02157204
622,-0.1214458
623,0.08845399
624,-0.09155504
625,0.8205497
626,1.288945
627,0.5651432
628,0.9281639
629,0.06715267
630,0.3289337
631,0.3551449
632,-0.3876568
633,0.269066
634,1.291529
635,1.340075
636,0.7995561
637,0.4047988
638,-0.9514834
639,-1.244078
640,-0.1539946
641,0.08749413
642,0.4408056
643,0.4098934
644,0.2011996
645,-0.6610422
646,-1.558909
647,-1.967412
648,-1.449609
649,-1.376525
650,-1.196061
651,-2.123905
652,-1.223712
653,-1.754436
654,-2.449651
655,-0.1754928
656,-0.5772275
657,-2.241524
658,-2.515044
659,-1.530311
660,0.4527299
661,0.6247278
662,0.2032793
663,-0.3296351
664,-1.172421
665,-0.1886723
666,2.262086
667,2.743255
668,0.3221039
669,0.5785688
670,-0.4338036
671,-1.145939
672,1.728668
673,1.18613
674,1.64564
675,1.44198
676,2.174285
677,1.574488
678,1.210631
679,0.8740307
680,0.6431865
681,-0.4178306
682,-0.3717332
683,0.535597
684,0.4416915
685,0.1325579
686,0.4316131
687,-0.5294687
688,-1.520995
689,-0.2485769
690,-0.09629277
691,-2.740671
692,-3.047872
693,-1.664321
694,-0.6229312
695,-0.6286288
696,-0.509115
697,-0.6041772
698,-1.119593
699,-0.313736
700,-1.510363
701,-1.930765
702,-1.274646
703,-0.5338742
704,0.5593595
705,0.3065002
706,0.6973689
707,0.1278325
708,-0.4693303
709,0.5745079
710,0.3516378
711,-0.3944004
712,0.2425101
713,2.193777
714,0.8250906
715,-0.840436
716,0.127008
717,0.4068662
718,-0.1382924
719,-1.156387
720,0.2516656
721,-0.417523
722,0.09348705
723,0.6021467
724,0.1196122
725,-0.2404674
726,0.1113058
727,0.9854719
728,0.860039
729,-1.434165
730,-2.134242
731,-1.887683
732,-1.406637
733,-0.4454817
734,-0.275785
735,-0.9005128
736,-1.280958
737,-0.781602
738,-0.1674571
739,1.043285
740,0.5802301
741,-0.02518994
742,-0.301504
743,-0.4752494
744,-1.201918
745,-0.0925272
746,-0.9158458
747,-1.074381
748,-0.279489
749,-0.9891636
750,-1.591532
751,-0.6150185
752,0.3839898
753,0.4031867
754,0.1002675
755,0.5613654
756,1.047173
757,1.69538
758,1.98432
759,-0.08452844
760,0.0604091
761,0.2220087
762,0.6566736
763,-0.6476166
764,-0.2125701
765,-0.500747
766,-1.821392
767,-1.600614
768,0.04950618
769,0.1693276
770,-0.4806271
771,0.4262109
772,0.1240423
773,-1.014452
774,-0.3615071
775,-0.537086
776,-1.731609
777,0.3618147
778,0.7510221
779,0.938107
780,-0.6083242
781,-0.017868
782,0.9913049
783,1.001716
784,1.799758
785,-0.3467771
786,-0.4879613
787,0.3631437
788,0.7696407
789,-1.245604
790,-2.224541
791,-0.4363632
792,0.4754709
793,0.1553482
794,-1.254993
795,-0.2693982
796,-1.721899
797,0.5195503
798,1.280232
799,-0.7386671
800,-1.36545
801,-0.8741661
802,0.05239804
803,-1.063921
804,-1.733897
805,0.4619838
806,-0.1078602
807,-0.5709761
808,0.09288407
809,0.5842295
810,-0.2573509
811,-0.497203
812,1.094624
813,0.4162924
814,0.8324864
815,0.3230146
816,0.2260819
817,-0.8084655
818,0.2252943
819,0.9250136
820,0.7819219
821,-0.3877184
822,0.1208428
823,-0.008244876
824,0.2131977
825,0.7241216
826,-0.1803782
827,0.1008582
828,-0.4476845
829,0.7313697
830,0.6405531
831,-0.1152437
832,-0.3289582
833,-0.2889645
834,-0.20355
835,-1.182783
836,-0.3023408
837,-0.4039251
838,-0.4783382
839,0.4031498
840,-0.1163512
841,-0.859633
842,-1.032209
843,-0.4230852
844,-1.292427
845,-0.7928248
846,0.06370705
847,-1.409111
848,-0.7794362
849,0.1269588
850,-0.1681463
851,-0.5642571
852,-0.6248016
853,-0.2557757
854,-1.429637
855,-0.9086346
856,0.8387132
857,-0.01331486
858,0.2978123
859,0.2592337
860,-0.2109458
861,0.08428232
862,0.1600244
863,0.6464968
864,-0.6822943
865,0.3078046
866,0.9077978
867,-0.3664294
868,-0.7993346
869,-0.3750065
870,-0.01852021
871,-0.2336253
872,-0.2319025
873,-0.8854013
874,0.2743206
875,0.4036544
876,-0.1311058
877,0.710413
878,-0.2752435
879,-0.05565907
880,-0.3000889
881,-0.1835654
882,-1.225792
883,0.4032729
884,-0.07491762
885,0.3335606
886,0.4920961
887,-0.2291953
888,-0.8489762
889,-0.1949237
890,0.4256448
891,-0.5101609
892,-0.9341568
893,-0.6511237
894,0.5728343
895,-0.3157911
896,-0.490804
897,0.04890319
898,0.6125328
899,-0.7718927
900,0.5609716
901,0.8143231
902,0.307054
903,-0.5960799
904,0.2276078
905,-0.03499765
906,-0.4289305
907,1.256605
908,-0.4749664
909,-0.5909607
910,-0.7251184
911,-0.6471489
912,-0.4482506
913,-0.4785105
914,-0.5124006
915,-0.07924926
916,0.1104444
917,0.7334494
918,0.07537294
919,-1.528366
920,-0.9304527
921,0.7681148
922,0.7476749
923,-0.11928
924,0.2770402
925,0.03269647
926,-0.5617591
927,0.34247
928,-0.8945937
929,-0.7426911
930,-0.9856564
931,0.06123359
932,0.2449221
933,-0.2850882
934,-0.277717
935,-0.06736187
936,0.05271799
937,-0.3262633
938,-0.05650816
939,0.06619282
940,0.2386461
941,0.20387
942,-0.7379041
943,-0.2224271
944,-0.3742928
945,-0.3793874
946,-0.7166028
947,-0.09297021
948,-0.5295303
949,-0.160689
950,-0.7417189
951,0.08137816
952,0.5896564
953,-1.791206
954,-1.445733
955,-0.09116126
956,0.7991008
957,-0.687315
958,-1.36118
959,-0.762971
960,0.2654604
961,-0.2062204
962,-0.1379355
